(no mascot),Sorting Hat (SVG),Mascot,Center of the Dashboard. Replaces the octopus in 86.jpg.,LOCKED
(no shield),GCAP shield (top-left),Logo,Brand mark on every screen.,LOCKED
(no voice),"Sorting Hat voice (warm, formal, on theme)",Brand voice,Reads like a wizard. Polite. Slightly amused. Lina-coded warmth.,LOCKED
(no tribute),Headmaster = Lina tribute (thought process),Tribute,Plan a month ahead. Multiple Linas. Meticulous. The whole product is the tribute.,LOCKED
(no tribute),The Council = Lina tribute (pattern),Tribute,Multi-perspective deliberation. The 'talking to multiple Linas' pattern.,LOCKED
(no mascot tribute),Sorting Hat = HP tribute,Tribute,Magical authority. Sorts the student.,LOCKED
(no model tribute),Adonis = Lebanese heritage tribute,Tribute,"Phoenician, died-and-resurrected. Name only. No Cedar in visuals.",LOCKED
PostHog telemetry,DROP,Don't carry over,Not in AionUi base anyway. Compliance flag.,DROP
"Greek god characters (Apollo, Hermes, etc.)",DROP,Don't carry over,Replaced by Sorting Hat mascot.,DROP
3D Office scene,DROP,Don't carry over,"Heavy, not in design.",DROP
"Claude assets (avatar, logo, caduceus)",DROP,Don't carry over,Branding leak from old fork. Not in AionUi.,DROP
Conductor name,DROP,Don't carry over,Call it Council or The Headmaster.,DROP
$HD token / crypto badge,DROP,Don't carry over,Crypto shilling. Not in AionUi.,DROP
Atlas Cloud sponsor,DROP,Don't carry over,Not in AionUi.,DROP
v2 'zero-fork' admission,REWRITE,Don't carry over,Reword to 'Built on AionUi' or just remove.,REWRITE
RAZSOC codename,DROP,Don't carry over,Internal name. Strip from public/docs.,DROP
(any),"Lina-coded: warm, meticulous, plain",Tone,Lina's energy in every string. Not corporate. Not academic. Not SaaS-coded.,LOCKED
(any),"Sorting Hat voice: polite, slightly amused, magical",Tone,The mascot's tone. Reads like a wizard. Slight humor.,LOCKED
(any),"Adonis energy: resurrection, judgment, ancient",Tone,The model's brand. Lebanese-coded wisdom.,LOCKED
(any),"GCAP voice: B2B, sharp, doesn't sleep",Tone,"The company's tone. Confident, not aggressive.",LOCKED
